"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 05 03:21:49 GMT 2024","Sat Oct 05 03:22:17 GMT 2024","28144","tests","test_gosuslugi29","","","","Тест поиска Подуслуг по Услуге","Этот тест собирает список подуслуг по услуге на сайте, проверяя доступность страницы услуги и наличия на странице услуги групп подуслуг и входящих в эти группы подуслуг"
"failed","Sat Oct 05 03:22:17 GMT 2024","Sat Oct 05 03:25:19 GMT 2024","181714","tests","test_gosuslugi29","","","","Тест поиска проверяемых Параметров по Подуслуге","Этот тест авторизуется на сайте, собирает список проверяемых параметров по подуслуге на сайте, проверяя доступность страницы подуслуги и наличия на странице подуслуги проверяемых параметров"
"passed","Sat Oct 05 03:21:38 GMT 2024","Sat Oct 05 03:21:40 GMT 2024","1959","tests","test_gosuslugi29","","","","Тест Категорий","Этот тест собирает список категорий услуг на сайте, проверяя доступность страницы категорий и наличия на странице категорий объектов"
"broken","Sat Oct 05 03:25:19 GMT 2024","Sat Oct 05 03:25:19 GMT 2024","0","tests","test_gosuslugi29","","","","Тест проверки Параметров Подуслуги","Этот тест проверяет наличия на странице подуслуги проверяемых параметров"
"passed","Sat Oct 05 03:21:40 GMT 2024","Sat Oct 05 03:21:49 GMT 2024","9298","tests","test_gosuslugi29","","","","Тест поиска Услуг по Категории","Этот тест собирает список услуг по категории на сайте, проверяя доступность страницы категории и наличия на странице категории услуг"
