"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 26 12:54:06 GMT 2024","Thu Sep 26 12:54:06 GMT 2024","36","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=3550",""
"passed","Thu Sep 26 12:49:51 GMT 2024","Thu Sep 26 12:49:51 GMT 2024","98","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=900",""
"passed","Thu Sep 26 12:51:05 GMT 2024","Thu Sep 26 12:51:05 GMT 2024","103","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=1700",""
"passed","Thu Sep 26 12:52:47 GMT 2024","Thu Sep 26 12:52:47 GMT 2024","27","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=2750",""
"passed","Thu Sep 26 12:50:08 GMT 2024","Thu Sep 26 12:50:08 GMT 2024","15","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=1100",""
"passed","Thu Sep 26 12:59:36 GMT 2024","Thu Sep 26 12:59:36 GMT 2024","32","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=250",""
"passed","Thu Sep 26 12:55:59 GMT 2024","Thu Sep 26 12:55:59 GMT 2024","15","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=1000",""
"passed","Thu Sep 26 13:01:07 GMT 2024","Thu Sep 26 13:01:07 GMT 2024","14","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=100",""
"passed","Thu Sep 26 12:48:25 GMT 2024","Thu Sep 26 12:48:25 GMT 2024","21","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=150",""
"failed","Thu Sep 26 13:02:02 GMT 2024","Thu Sep 26 13:02:02 GMT 2024","16","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=0",""
"passed","Thu Sep 26 12:57:20 GMT 2024","Thu Sep 26 12:57:20 GMT 2024","21","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=1900",""
"passed","Thu Sep 26 12:58:28 GMT 2024","Thu Sep 26 12:58:28 GMT 2024","18","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=2650",""
"failed","Thu Sep 26 12:50:04 GMT 2024","Thu Sep 26 12:50:04 GMT 2024","27","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=1050",""
"failed","Thu Sep 26 12:56:45 GMT 2024","Thu Sep 26 12:56:45 GMT 2024","15","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=1500",""
"passed","Thu Sep 26 13:00:29 GMT 2024","Thu Sep 26 13:00:29 GMT 2024","19","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","custom message:i=100",""
