"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 25 06:43:29 GMT 2024","Fri Oct 25 06:43:29 GMT 2024","0","tests","test_departments","","","","Тест получения токена для Органов","Этот тест проверяет получение токена для доступа к органам"
"skipped","Fri Oct 25 06:43:28 GMT 2024","Fri Oct 25 06:43:28 GMT 2024","30","tests","test_category","","","","Тест Услуг по Категории","Этот тест проверяет объекты услуг на стандартное представление"
"skipped","Fri Oct 25 06:43:24 GMT 2024","Fri Oct 25 06:43:24 GMT 2024","12","tests","test_category","","","","Тест доступности Услуг по Категории","Этот тест проверяет доступность страниц категорий"
"skipped","Fri Oct 25 06:43:24 GMT 2024","Fri Oct 25 06:43:24 GMT 2024","0","tests","test_category","","","","Тест получения токена для Категорий","Этот тест проверяет получение токена для доступа к категориям"
"skipped","Fri Oct 25 06:42:59 GMT 2024","Fri Oct 25 06:42:59 GMT 2024","0","tests","test_categories","","","","Тест доступности Категорий","Этот тест проверяет доступность страницы категорий"
"skipped","Fri Oct 25 06:43:29 GMT 2024","Fri Oct 25 06:43:29 GMT 2024","15","tests","test_departments","","","","Тест Органов","Этот тест проверяет объекты органов на стандартное представление"
"skipped","Fri Oct 25 06:42:59 GMT 2024","Fri Oct 25 06:42:59 GMT 2024","1","tests","test_categories","","","","Тест Категорий","Этот тест проверяет объекты категорий на стандартное представление"
"skipped","Fri Oct 25 06:43:29 GMT 2024","Fri Oct 25 06:43:29 GMT 2024","0","tests","test_departments","","","","Тест наличия Органов","Этот тест проверяет наличие на странице органов объектов"
"skipped","Fri Oct 25 06:43:29 GMT 2024","Fri Oct 25 06:43:29 GMT 2024","0","tests","test_departments","","","","Тест доступности вспомогательных страниц для Органов","Этот тест проверяет доступность страницы вспомогательных страниц для доступа к органам"
"skipped","Fri Oct 25 06:43:24 GMT 2024","Fri Oct 25 06:43:24 GMT 2024","0","tests","test_category","","","","Тест доступности вспомогательных страниц для Категорий","Этот тест проверяет доступность страницы вспомогательных страниц для доступа к категориям"
"skipped","Fri Oct 25 06:42:59 GMT 2024","Fri Oct 25 06:42:59 GMT 2024","0","tests","test_categories","","","","Тест наличия Категорий","Этот тест проверяет наличие на странице категорий объектов"
"skipped","Fri Oct 25 06:43:29 GMT 2024","Fri Oct 25 06:43:29 GMT 2024","0","tests","test_departments","","","","Тест доступности Услуг по Категории","Этот тест проверяет доступность страниц категорий"
