,Ссылка,Всего услуг,"Полностью электронных, %успешных","Частично электронных, %успешных","Неэлектронных, %успешных",% успешных
Управление муниципального имущества администрации Плесецкого муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15986@egOrganization,13,"13, 92.31%","0, 100.00%","0, 100.00%",92.31%
Министерство образования Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15648@egOrganization,12,"4, 50.00%","0, 100.00%","8, 0.00%",16.67%
Администрация Лешуконского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22461@egOrganization,12,"6, 83.33%","1, 0.00%","5, 60.00%",66.67%
"Админиcтрация муниципального образования ""Борецкое""",https://gosuslugi29.ru/pgu/department/info.htm?id=16226@egOrganization,11,"0, 100.00%","0, 100.00%","11, 0.00%",0.00%
"Администрация муниципального образования ""Емцовское"" Плесецкого муниципального района Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=16219@egOrganization,11,"0, 100.00%","0, 100.00%","11, 72.73%",72.73%
Комитет по управлению муниципальным имуществом администрации Холмогорского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22459@egOrganization,11,"5, 60.00%","2, 100.00%","4, 50.00%",63.64%
Администрация Котласского муниципального района Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15672@egOrganization,10,"1, 0.00%","0, 100.00%","9, 0.00%",0.00%
Администрация Лешуконского муниципального района Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15657@egOrganization,10,"5, 40.00%","0, 100.00%","5, 0.00%",20.00%
"Муниципальное казенное учреждение «Комитет по управлению муниципальным имуществом, архитектуре и земельным отношениям» администрации муниципального образования «Онежский муниципальный район»",https://gosuslugi29.ru/pgu/department/info.htm?id=15998@egOrganization,10,"5, 60.00%","0, 100.00%","5, 60.00%",60.00%
"Комитет по управлению имуществом администрации муниципального образования ""Холмогорский муниципальный район"" Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=16184@egOrganization,10,"2, 100.00%","0, 100.00%","8, 75.00%",80.00%
Министерство имущественных отношений Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15700@egOrganization,9,"9, 77.78%","0, 100.00%","0, 100.00%",77.78%
Инспекция по охране объектов культурного наследия Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15940@egOrganization,8,"3, 66.67%","0, 100.00%","5, 80.00%",75.00%
Министерство транспорта Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15880@egOrganization,8,"3, 100.00%","0, 100.00%","5, 100.00%",100.00%
"Администрация муниципального образования ""Усть-Ваеньгское""",https://gosuslugi29.ru/pgu/department/info.htm?id=16138@egOrganization,8,"0, 100.00%","0, 100.00%","8, 0.00%",0.00%
"Администрация муниципального образование ""Обозерское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21098@egOrganization,8,"1, 100.00%","0, 100.00%","7, 85.71%",87.50%
Министерство агропромышленного комплекса и торговли Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15641@egOrganization,6,"5, 80.00%","0, 100.00%","1, 100.00%",83.33%
"Администрация муниципального образования ""Сосновское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21221@egOrganization,6,"0, 100.00%","0, 100.00%","6, 0.00%",0.00%
"Администрация муниципального образования ""Шилегское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21223@egOrganization,6,"0, 100.00%","0, 100.00%","6, 0.00%",0.00%
"Управление экономического развития администрации городского округа Архангельской области ""Котлас""",https://gosuslugi29.ru/pgu/department/info.htm?id=16180@egOrganization,5,"0, 100.00%","0, 100.00%","5, 80.00%",80.00%
"Управление по молодежной, социальной политике и спорту администрации Приморского муниципального округа Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=22467@egOrganization,5,"3, 100.00%","0, 100.00%","2, 100.00%",100.00%
Министерство здравоохранения Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15939@egOrganization,4,"0, 100.00%","1, 0.00%","3, 33.33%",25.00%
Министерство строительства и архитектуры Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15938@egOrganization,4,"2, 100.00%","0, 100.00%","2, 100.00%",100.00%
"Государственное бюджетное учреждение ""Центр кадастровой оценки и технической инвентаризации""",https://gosuslugi29.ru/pgu/department/info.htm?id=22405@egOrganization,4,"4, 75.00%","0, 100.00%","0, 100.00%",75.00%
"Управление по социальным вопросам администрации городского округа Архангельской области ""Котлас""",https://gosuslugi29.ru/pgu/department/info.htm?id=16239@egOrganization,4,"2, 50.00%","2, 0.00%","0, 100.00%",25.00%
Комитет по управлению муниципальным имуществом администрации Красноборского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15995@egOrganization,4,"2, 50.00%","0, 100.00%","2, 50.00%",50.00%
"Сельское поселение ""Юромское"" Лешуконского муниципального района Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=21119@egOrganization,4,"0, 100.00%","0, 100.00%","4, 75.00%",75.00%
"Администрация муниципального образования ""Коношское""",https://gosuslugi29.ru/pgu/department/info.htm?id=16238@egOrganization,4,"3, 66.67%","0, 100.00%","1, 100.00%",75.00%
"Администрация муниципального образования ""Сафроновское""",https://gosuslugi29.ru/pgu/department/info.htm?id=16257@egOrganization,4,"1, 0.00%","1, 100.00%","2, 0.00%",25.00%
"Управление образования Администрации муниципального образования ""Северодвинск""",https://gosuslugi29.ru/pgu/department/info.htm?id=16227@egOrganization,4,"1, 100.00%","1, 100.00%","2, 100.00%",100.00%
"Управление строительства и инфраструктуры администрации муниципального образования ""Устьянский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=21145@egOrganization,4,"0, 100.00%","0, 100.00%","4, 100.00%",100.00%
Агентство записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15853@egOrganization,3,"0, 100.00%","0, 100.00%","3, 66.67%",66.67%
Министерство спорта Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=16004@egOrganization,3,"2, 100.00%","1, 100.00%","0, 100.00%",100.00%
"Администрация муниципального образования ""Селянское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21217@egOrganization,3,"0, 100.00%","0, 100.00%","3, 0.00%",0.00%
"Управление городского хозяйства администрации ГО АО ""Котлас""",https://gosuslugi29.ru/pgu/department/info.htm?id=15969@egOrganization,3,"3, 100.00%","0, 100.00%","0, 100.00%",100.00%
"Сельское поселение""Ценогорское"" Лешуконского муниципального района Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=21099@egOrganization,3,"0, 100.00%","0, 100.00%","3, 66.67%",66.67%
Государственная жилищная инспекция Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15640@egOrganization,2,"2, 50.00%","0, 100.00%","0, 100.00%",50.00%
Министерство культуры Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15937@egOrganization,2,"0, 100.00%","0, 100.00%","2, 0.00%",0.00%
Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15965@egOrganization,2,"0, 100.00%","0, 100.00%","2, 50.00%",50.00%
"Отдел культуры и искусства администрации муниципального образования ""Лешуконский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=16719@egOrganization,2,"0, 100.00%","0, 100.00%","2, 0.00%",0.00%
"Администрация муниципального образования ""Мирный""",https://gosuslugi29.ru/pgu/department/info.htm?id=16346@egOrganization,2,"0, 100.00%","0, 100.00%","2, 0.00%",0.00%
"Администрация муниципального образования ""Нюхченское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21220@egOrganization,2,"0, 100.00%","0, 100.00%","2, 0.00%",0.00%
"Администрация муниципального образования ""Пинежское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21219@egOrganization,2,"0, 100.00%","0, 100.00%","2, 0.00%",0.00%
Управление культуры администрации Приморского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=21184@egOrganization,2,"1, 100.00%","0, 100.00%","1, 100.00%",100.00%
Управление образования администрации Приморского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=16141@egOrganization,2,"2, 100.00%","0, 100.00%","0, 100.00%",100.00%
Инспекция государственного строительного надзора Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=16003@egOrganization,1,"0, 100.00%","1, 100.00%","0, 100.00%",100.00%
Инспекция по ветеринарному надзору Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15975@egOrganization,1,"1, 100.00%","0, 100.00%","0, 100.00%",100.00%
Министерство финансов Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22454@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
"Государственное автономное учреждение  Архангельской области ""Управление государственной экспертизы""",https://gosuslugi29.ru/pgu/department/info.htm?id=15963@egOrganization,1,"0, 100.00%","1, 0.00%","0, 100.00%",0.00%
"Администрация муниципального образования городской округ ""Новая Земля""",https://gosuslugi29.ru/pgu/department/info.htm?id=16078@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
Администрация Холмогорского муниципального района Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15661@egOrganization,1,"1, 100.00%","0, 100.00%","0, 100.00%",100.00%
Администрация муниципального образования «Пучужское»,https://gosuslugi29.ru/pgu/department/info.htm?id=21150@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
"Отдел торговли, предпринимательства и сельского хозяйства администрации муниципального образования «Верхнетоемский муниципальный район»",https://gosuslugi29.ru/pgu/department/info.htm?id=21164@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
"Администрация муниципального образования ""Вилегодское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21218@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
"Администрация муниципального образования ""Никольское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21192@egOrganization,1,"0, 100.00%","0, 100.00%","1, 100.00%",100.00%
"Комитет по управлению муниципальным имуществом и ЖКХ администрации муниципального образования ""Вилегодский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=15981@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
Управление образования и культуры администрации Вилегодского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=21092@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
"Администрация муниципального образования ""Моржегорское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21204@egOrganization,1,"0, 100.00%","0, 100.00%","1, 100.00%",100.00%
"Администрация муниципального образования ""Шидровское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21142@egOrganization,1,"0, 100.00%","0, 100.00%","1, 100.00%",100.00%
Финансовое управление городского округа Архангельской области «Город Новодвинск»,https://gosuslugi29.ru/pgu/department/info.htm?id=22424@egOrganization,1,"1, 100.00%","0, 100.00%","0, 100.00%",100.00%
Финансовое управление администрации городского округа Архангельской области «Котлас»,https://gosuslugi29.ru/pgu/department/info.htm?id=22409@egOrganization,1,"1, 100.00%","0, 100.00%","0, 100.00%",100.00%
Управление по социальной политике администрации Котласского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22473@egOrganization,1,"0, 100.00%","0, 100.00%","1, 100.00%",100.00%
"Управление образования администрации МО ""Красноборский муниципальный район"" Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=15689@egOrganization,1,"0, 100.00%","0, 100.00%","1, 100.00%",100.00%
"Администрация муниципального образования ""Козьминское""",https://gosuslugi29.ru/pgu/department/info.htm?id=16608@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
"Администрация муниципального образования ""Урдомское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21215@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
"Отдел по делам молодежи, культуре и искусству администрации муниципального образования «Мезенский район» Архангельской области",https://gosuslugi29.ru/pgu/department/info.htm?id=16233@egOrganization,1,"0, 100.00%","0, 100.00%","1, 100.00%",100.00%
"Муниципальное бюджетное учреждение культуры ""Мезенский районный Дом культуры""",https://gosuslugi29.ru/pgu/department/info.htm?id=16339@egOrganization,1,"0, 100.00%","0, 100.00%","1, 100.00%",100.00%
"Администрация муниципального образования ""Веркольское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21224@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
"Администрация муниципального образования ""Покшеньгское""",https://gosuslugi29.ru/pgu/department/info.htm?id=21222@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
Муниципальное бюджетное учреждение культуры «Онежский историко-мемориальный музей»,https://gosuslugi29.ru/pgu/department/info.htm?id=21117@egOrganization,1,"0, 100.00%","0, 100.00%","1, 0.00%",0.00%
Муниципальное казенное учреждение «Управление образования администрации муниципального образования «Онежский муниципальный район»,https://gosuslugi29.ru/pgu/department/info.htm?id=16374@egOrganization,1,"1, 100.00%","0, 100.00%","0, 100.00%",100.00%
Финансовое управление администрации Плесецкого муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=17010@egOrganization,1,"1, 100.00%","0, 100.00%","0, 100.00%",100.00%
Комитет по управлению муниципальным имуществом и земельными отношениями администрации  Приморского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22468@egOrganization,1,"0, 100.00%","0, 100.00%","1, 100.00%",100.00%
Управление образования администрации Устьянского муниципального округа  Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=16155@egOrganization,1,"0, 100.00%","0, 100.00%","1, 100.00%",100.00%
Матигорский территориальный отдел администрации Холмогорского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22462@egOrganization,1,"0, 100.00%","0, 100.00%","1, 100.00%",100.00%
Управление образования администрации Холмогорского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=16213@egOrganization,1,"0, 100.00%","0, 100.00%","1, 100.00%",100.00%
Финансовое управление администрации Холмогорского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22465@egOrganization,1,"1, 100.00%","0, 100.00%","0, 100.00%",100.00%
Администрация Губернатора Архангельской области и Правительства Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15639@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
Агентство государственной противопожарной службы и гражданской защиты Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=21195@egOrganization,0,"0, 100.00%","0, 100.00%","0, 100.00%",100.00%
