"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 01 03:46:03 GMT 2024","Tue Oct 01 03:46:03 GMT 2024","25","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=15707@egServiceTarget&serviceId=9156@egService",""
"passed","Tue Oct 01 03:36:43 GMT 2024","Tue Oct 01 03:36:43 GMT 2024","28","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=20207@egServiceTarget&serviceId=11300@egService",""
"failed","Tue Oct 01 03:39:35 GMT 2024","Tue Oct 01 03:39:35 GMT 2024","52","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=13046@egServiceTarget&serviceId=7603@egService",""
"failed","Tue Oct 01 03:43:05 GMT 2024","Tue Oct 01 03:43:05 GMT 2024","16","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=13430@egServiceTarget&serviceId=7766@egService",""
"failed","Tue Oct 01 03:43:23 GMT 2024","Tue Oct 01 03:43:23 GMT 2024","16","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=13669@egServiceTarget&serviceId=7858@egService",""
"passed","Tue Oct 01 03:47:00 GMT 2024","Tue Oct 01 03:47:00 GMT 2024","21","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=15342@egServiceTarget&serviceId=8753@egService",""
"passed","Tue Oct 01 03:38:25 GMT 2024","Tue Oct 01 03:38:25 GMT 2024","30","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=14868@egServiceTarget&serviceId=8451@egService",""
"failed","Tue Oct 01 03:50:33 GMT 2024","Tue Oct 01 03:50:33 GMT 2024","16","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=20220@egServiceTarget&serviceId=11307@egService",""
"passed","Tue Oct 01 03:46:38 GMT 2024","Tue Oct 01 03:46:39 GMT 2024","403","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=12884@egServiceTarget&serviceId=7514@egService",""
"passed","Tue Oct 01 03:48:28 GMT 2024","Tue Oct 01 03:48:28 GMT 2024","30","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=20491@egServiceTarget&serviceId=11436@egService",""
"passed","Tue Oct 01 03:37:57 GMT 2024","Tue Oct 01 03:37:57 GMT 2024","16","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=20986@egServiceTarget&serviceId=8721@egService",""
"failed","Tue Oct 01 03:36:58 GMT 2024","Tue Oct 01 03:36:58 GMT 2024","24","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=19929@egServiceTarget&serviceId=11169@egService",""
"passed","Tue Oct 01 03:36:44 GMT 2024","Tue Oct 01 03:36:44 GMT 2024","18","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=15376@egServiceTarget&serviceId=8782@egService",""
"passed","Tue Oct 01 03:45:08 GMT 2024","Tue Oct 01 03:45:08 GMT 2024","32","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=21128@egServiceTarget&serviceId=7551@egService",""
"passed","Tue Oct 01 03:36:06 GMT 2024","Tue Oct 01 03:36:06 GMT 2024","137","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=15733@egServiceTarget&serviceId=9185@egService",""
"failed","Tue Oct 01 03:48:38 GMT 2024","Tue Oct 01 03:48:38 GMT 2024","20","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=14384@egServiceTarget&serviceId=8215@egService",""
"passed","Tue Oct 01 03:43:40 GMT 2024","Tue Oct 01 03:43:40 GMT 2024","21","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=13506@egServiceTarget&serviceId=7816@egService",""
"passed","Tue Oct 01 03:50:39 GMT 2024","Tue Oct 01 03:50:39 GMT 2024","36","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=13068@egServiceTarget&serviceId=7615@egService",""
"passed","Tue Oct 01 03:41:12 GMT 2024","Tue Oct 01 03:41:12 GMT 2024","22","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=21231@egServiceTarget&serviceId=11793@egService",""
"passed","Tue Oct 01 03:37:22 GMT 2024","Tue Oct 01 03:37:23 GMT 2024","202","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=16980@egServiceTarget&serviceId=9994@egService",""
"passed","Tue Oct 01 03:42:16 GMT 2024","Tue Oct 01 03:42:16 GMT 2024","18","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=19829@egServiceTarget&serviceId=11112@egService",""
"passed","Tue Oct 01 03:49:47 GMT 2024","Tue Oct 01 03:49:47 GMT 2024","20","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=21177@egServiceTarget&serviceId=11753@egService",""
"passed","Tue Oct 01 03:36:43 GMT 2024","Tue Oct 01 03:36:43 GMT 2024","126","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=15707@egServiceTarget&serviceId=9156@egService",""
"failed","Tue Oct 01 03:49:27 GMT 2024","Tue Oct 01 03:49:27 GMT 2024","106","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=12911@egServiceTarget&serviceId=7524@egService",""
"failed","Tue Oct 01 03:42:46 GMT 2024","Tue Oct 01 03:42:46 GMT 2024","18","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=20078@egServiceTarget&serviceId=11232@egService",""
"passed","Tue Oct 01 03:36:44 GMT 2024","Tue Oct 01 03:36:44 GMT 2024","24","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=15932@egServiceTarget&serviceId=9424@egService",""
"passed","Tue Oct 01 03:41:52 GMT 2024","Tue Oct 01 03:41:52 GMT 2024","19","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=14416@egServiceTarget&serviceId=8231@egService",""
"passed","Tue Oct 01 03:39:15 GMT 2024","Tue Oct 01 03:39:15 GMT 2024","189","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=17094@egServiceTarget&serviceId=10031@egService",""
"passed","Tue Oct 01 03:47:40 GMT 2024","Tue Oct 01 03:47:40 GMT 2024","18","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=13176@egServiceTarget&serviceId=7668@egService",""
"passed","Tue Oct 01 03:51:00 GMT 2024","Tue Oct 01 03:51:00 GMT 2024","414","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=12890@egServiceTarget&serviceId=7514@egService",""
"passed","Tue Oct 01 03:40:54 GMT 2024","Tue Oct 01 03:40:54 GMT 2024","24","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=14216@egServiceTarget&serviceId=8148@egService",""
"passed","Tue Oct 01 03:42:42 GMT 2024","Tue Oct 01 03:42:42 GMT 2024","30","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=13672@egServiceTarget&serviceId=7861@egService",""
"failed","Tue Oct 01 03:41:17 GMT 2024","Tue Oct 01 03:41:17 GMT 2024","32","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=19879@egServiceTarget&serviceId=11138@egService",""
"passed","Tue Oct 01 03:42:50 GMT 2024","Tue Oct 01 03:42:50 GMT 2024","19","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=15044@egServiceTarget&serviceId=8550@egService",""
"passed","Tue Oct 01 03:35:14 GMT 2024","Tue Oct 01 03:35:14 GMT 2024","18","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=20910@egServiceTarget&serviceId=8720@egService",""
"passed","Tue Oct 01 03:38:55 GMT 2024","Tue Oct 01 03:38:55 GMT 2024","20","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=15328@egServiceTarget&serviceId=8743@egService",""
"passed","Tue Oct 01 03:40:23 GMT 2024","Tue Oct 01 03:40:23 GMT 2024","21","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=20358@egServiceTarget&serviceId=7627@egService",""
"failed","Tue Oct 01 03:42:33 GMT 2024","Tue Oct 01 03:42:33 GMT 2024","27","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=20050@egServiceTarget&serviceId=11216@egService",""
"passed","Tue Oct 01 03:39:29 GMT 2024","Tue Oct 01 03:39:29 GMT 2024","17","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=16363@egServiceTarget&serviceId=9738@egService",""
"passed","Tue Oct 01 03:43:13 GMT 2024","Tue Oct 01 03:43:13 GMT 2024","28","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=15581@egServiceTarget&serviceId=8992@egService",""
"passed","Tue Oct 01 03:37:56 GMT 2024","Tue Oct 01 03:37:56 GMT 2024","24","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=15523@egServiceTarget&serviceId=8924@egService",""
"passed","Tue Oct 01 03:38:25 GMT 2024","Tue Oct 01 03:38:25 GMT 2024","15","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=16028@egServiceTarget&serviceId=9520@egService",""
"passed","Tue Oct 01 03:38:16 GMT 2024","Tue Oct 01 03:38:16 GMT 2024","21","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=17345@egServiceTarget&serviceId=10133@egService",""
"passed","Tue Oct 01 03:40:06 GMT 2024","Tue Oct 01 03:40:06 GMT 2024","15","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=20409@egServiceTarget&serviceId=9512@egService",""
"passed","Tue Oct 01 03:43:54 GMT 2024","Tue Oct 01 03:43:54 GMT 2024","26","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=19795@egServiceTarget&serviceId=11095@egService",""
"passed","Tue Oct 01 03:42:46 GMT 2024","Tue Oct 01 03:42:46 GMT 2024","178","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=15870@egServiceTarget&serviceId=9352@egService",""
"passed","Tue Oct 01 03:50:32 GMT 2024","Tue Oct 01 03:50:32 GMT 2024","26","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets.htm?id=12792@egServiceTarget&serviceId=7461@egService",""
"passed","Tue Oct 01 03:43:13 GMT 2024","Tue Oct 01 03:43:14 GMT 2024","24","tests","test_gosuslugi29.py","test_getDetailsTargetsAsync","","","Проверить параметры подуслуги https://gosuslugi29.ru/pgu/services/info/targets/details.htm?id=15932@egServiceTarget&serviceId=9424@egService",""
