"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Oct 12 03:27:10 GMT 2024","Sat Oct 12 03:27:10 GMT 2024","0","tests","test_target","","","","Тест доступности вспомогательных страниц для Авторизации для теста Параметров по Подуслуге","Этот тест проверяет доступность вспомогательных страниц для доступа к авторизации"
"skipped","Sat Oct 12 03:21:31 GMT 2024","Sat Oct 12 03:21:31 GMT 2024","1","tests","test_category","","","","Тест доступности вспомогательных страниц для Категорий","Этот тест проверяет доступность страницы вспомогательных страниц для доступа к категориям"
"skipped","Sat Oct 12 03:22:52 GMT 2024","Sat Oct 12 03:22:52 GMT 2024","43","tests","test_service","","","","Тест групп Подуслуг по Услуге","Этот тест проверяет группы подуслуг на стандартное представление"
"skipped","Sat Oct 12 03:21:06 GMT 2024","Sat Oct 12 03:21:06 GMT 2024","0","tests","test_catalog","","","","Тест наличия Категорий","Этот тест проверяет наличие на странице категорий объектов"
"skipped","Sat Oct 12 03:22:52 GMT 2024","Sat Oct 12 03:22:52 GMT 2024","26","tests","test_service","","","","Тест наличия групп Подуслуг по Услуге","Этот тест проверяет наличие на страницах услуг групп подуслуг"
"skipped","Sat Oct 12 03:27:10 GMT 2024","Sat Oct 12 03:27:10 GMT 2024","6","tests","test_target","","","","Тест Авторизации для теста Параметров по Подуслуге","Этот тест проверяет успешность авторизации в качестве заданного пользователя"
"skipped","Sat Oct 12 03:21:31 GMT 2024","Sat Oct 12 03:21:31 GMT 2024","8","tests","test_category","","","","Тест доступности Услуг по Категории","Этот тест проверяет доступность страниц категорий"
"skipped","Sat Oct 12 03:27:10 GMT 2024","Sat Oct 12 03:27:10 GMT 2024","48","tests","test_target","","","","Тест доступности Параметров по Подуслуге","Этот тест проверяет доступность страниц подуслуг"
"skipped","Sat Oct 12 03:22:52 GMT 2024","Sat Oct 12 03:22:52 GMT 2024","42","tests","test_service","","","","Тест Подуслуг по Услуге","Этот тест проверяет подуслуги на стандартное представление"
"skipped","Sat Oct 12 03:21:06 GMT 2024","Sat Oct 12 03:21:06 GMT 2024","1","tests","test_catalog","","","","Тест Категорий","Этот тест проверяет объекты категорий на стандартное представление"
"skipped","Sat Oct 12 03:22:51 GMT 2024","Sat Oct 12 03:22:51 GMT 2024","35","tests","test_service","","","","Тест доступности Подуслуг по Услуге","Этот тест проверяет доступность страниц услуг"
"skipped","Sat Oct 12 03:27:10 GMT 2024","Sat Oct 12 03:27:10 GMT 2024","0","tests","test_target","","","","Тест получения токена для Авторизации для теста Параметров по Подуслуге","Этот тест проверяет получение токена для доступа к авторизации"
"skipped","Sat Oct 12 03:21:05 GMT 2024","Sat Oct 12 03:21:06 GMT 2024","1","tests","test_catalog","","","","Тест доступности Категорий","Этот тест проверяет доступность страницы категорий"
"skipped","Sat Oct 12 03:21:31 GMT 2024","Sat Oct 12 03:21:31 GMT 2024","2","tests","test_category","","","","Тест получения токена для Категорий","Этот тест проверяет получение токена для доступа к категориям"
"skipped","Sat Oct 12 03:21:34 GMT 2024","Sat Oct 12 03:21:34 GMT 2024","28","tests","test_category","","","","Тест Услуг по Категории","Этот тест проверяет объекты услуг на стандартное представление"
"skipped","Sat Oct 12 03:27:10 GMT 2024","Sat Oct 12 03:27:10 GMT 2024","6","tests","test_target","","","","Тест наличия Авторизации для теста Параметров по Подуслуге","Этот тест проверяет наличие записей об авторизации на странице авторизации"
"skipped","Sat Oct 12 03:27:10 GMT 2024","Sat Oct 12 03:27:10 GMT 2024","0","tests","test_target","","","","Тест доступности страницы Авторизации для теста Параметров по Подуслуге","Этот тест проверяет доступность страницы авторизации"
"broken","Sat Oct 12 03:27:10 GMT 2024","Sat Oct 12 03:27:10 GMT 2024","0","tests","test_target","","","","Тест Параметров по Подуслуге","Этот тест проверяет наличие на страницах подуслуг проверяемых параметров"
