"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 31 03:41:05 GMT 2024","Thu Oct 31 03:41:05 GMT 2024","6","tests","test_target","","","","Тест наличия Авторизации для теста Параметров по Подуслуге","Этот тест проверяет наличие записей об авторизации на странице авторизации"
"broken","Thu Oct 31 03:40:55 GMT 2024","Thu Oct 31 03:40:55 GMT 2024","0","tests","test_target","","","","Тест доступности страницы Авторизации для теста Параметров по Подуслуге","Этот тест проверяет доступность страницы авторизации"
"skipped","Thu Oct 31 03:41:05 GMT 2024","Thu Oct 31 03:41:05 GMT 2024","0","tests","test_target","","","","Тест доступности страницы Авторизации для теста Параметров по Подуслуге","Этот тест проверяет доступность страницы авторизации"
"skipped","Thu Oct 31 03:33:42 GMT 2024","Thu Oct 31 03:33:42 GMT 2024","53","tests","test_department","","","","Тест доступности Услуг по Органу","Этот тест проверяет доступность страниц органов"
"skipped","Thu Oct 31 03:30:16 GMT 2024","Thu Oct 31 03:30:16 GMT 2024","0","tests","test_departments","","","","Тест получения токена для Органов","Этот тест проверяет получение токена для доступа к органам"
"skipped","Thu Oct 31 03:35:01 GMT 2024","Thu Oct 31 03:35:01 GMT 2024","28","tests","test_service","","","","Тест групп Подуслуг по Услуге","Этот тест проверяет группы подуслуг на стандартное представление"
"skipped","Thu Oct 31 03:35:01 GMT 2024","Thu Oct 31 03:35:01 GMT 2024","27","tests","test_service","","","","Тест наличия групп Подуслуг по Услуге","Этот тест проверяет наличие на страницах услуг групп подуслуг"
"skipped","Thu Oct 31 03:41:01 GMT 2024","Thu Oct 31 03:41:01 GMT 2024","6","tests","test_target","","","","Тест Авторизации для теста Параметров по Подуслуге","Этот тест проверяет успешность авторизации в качестве заданного пользователя"
"broken","Thu Oct 31 03:35:01 GMT 2024","Thu Oct 31 03:35:01 GMT 2024","0","tests","test_target","","","","Тест доступности вспомогательных страниц для Авторизации для теста Параметров по Подуслуге","Этот тест проверяет доступность вспомогательных страниц для доступа к авторизации"
"skipped","Thu Oct 31 03:29:08 GMT 2024","Thu Oct 31 03:29:08 GMT 2024","1","tests","test_categories","","","","Тест Категорий","Этот тест проверяет объекты категорий на стандартное представление"
"skipped","Thu Oct 31 03:41:01 GMT 2024","Thu Oct 31 03:41:01 GMT 2024","1","tests","test_target","","","","Тест доступности страницы Авторизации для теста Параметров по Подуслуге","Этот тест проверяет доступность страницы авторизации"
"skipped","Thu Oct 31 03:34:59 GMT 2024","Thu Oct 31 03:35:00 GMT 2024","50","tests","test_service","","","","Тест доступности Подуслуг по Услуге","Этот тест проверяет доступность страниц услуг"
