"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 11 06:31:46 GMT 2024","Fri Oct 11 06:31:46 GMT 2024","6","tests","test_target","","","","Тест наличия Авторизации для теста Параметров по Подуслуге","Этот тест проверяет наличие записей об авторизации на странице авторизации"
"passed","Fri Oct 11 06:31:46 GMT 2024","Fri Oct 11 06:31:46 GMT 2024","0","tests","test_target.py","test_target_service_pages","","","Проверить Запрос к странице https://gosuslugi29.ru/util/ajaxRpc.sx?_=securitypreventiontoken.isEnabled",""
"passed","Fri Oct 11 06:31:46 GMT 2024","Fri Oct 11 06:31:46 GMT 2024","0","tests","test_target","","","","Тест доступности Параметров по Подуслуге","Этот тест проверяет доступность страниц подуслуг"
"passed","Fri Oct 11 06:31:43 GMT 2024","Fri Oct 11 06:31:43 GMT 2024","0","tests","test_service","","","","Тест Подуслуг по Услуге","Этот тест проверяет подуслуги на стандартное представление"
"passed","Fri Oct 11 06:31:43 GMT 2024","Fri Oct 11 06:31:43 GMT 2024","1","tests","test_category.py","test_category_service_pages","","","Проверить Запрос к странице https://gosuslugi29.ru/util/ajaxRpc.sx?_=securitypreventiontoken.getRestToken",""
"skipped","Fri Oct 11 06:31:42 GMT 2024","Fri Oct 11 06:31:42 GMT 2024","1","tests","test_catalog","","","","Тест Категорий","Этот тест проверяет объекты категорий на стандартное представление"
"passed","Fri Oct 11 06:31:46 GMT 2024","Fri Oct 11 06:31:46 GMT 2024","1","tests","test_target.py","test_target_service_pages","","","Проверить Запрос к странице https://gosuslugi29.ru/util/ajaxRpc.sx?_=securitypreventiontoken.getRestToken",""
"skipped","Fri Oct 11 06:31:42 GMT 2024","Fri Oct 11 06:31:42 GMT 2024","0","tests","test_catalog","","","","Тест наличия Категорий","Этот тест проверяет наличие на странице категорий объектов"
"passed","Fri Oct 11 06:31:43 GMT 2024","Fri Oct 11 06:31:43 GMT 2024","0","tests","test_category.py","test_category_service_pages","","","Проверить Запрос к странице https://gosuslugi29.ru/util/ajaxRpc.sx?_=securitypreventiontoken.isEnabled",""
"passed","Fri Oct 11 06:31:46 GMT 2024","Fri Oct 11 06:31:46 GMT 2024","0","tests","test_target","","","","Тест получения токена для Авторизации для теста Параметров по Подуслуге","Этот тест проверяет получение токена для доступа к авторизации"
"passed","Fri Oct 11 06:31:46 GMT 2024","Fri Oct 11 06:31:46 GMT 2024","6","tests","test_target.py","test_target_authorization_correct","","","Проверить Запрос к странице https://gosuslugi29.ru/auth/testesia.htm?&_t=8496E9A3457619CF4A9B2FED29731397",""
"skipped","Fri Oct 11 06:31:42 GMT 2024","Fri Oct 11 06:31:42 GMT 2024","2","tests","test_catalog","","","","Тест доступности Категорий","Этот тест проверяет доступность страницы категорий"
"passed","Fri Oct 11 06:31:46 GMT 2024","Fri Oct 11 06:31:46 GMT 2024","0","tests","test_target","","","","Тест Параметров по Подуслуге","Этот тест проверяет наличие на страницах подуслуг проверяемых параметров"
