"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 01 09:08:40 GMT 2024","Tue Oct 01 09:09:06 GMT 2024","26460","tests","test_gosuslugi29","","","","Тест поиска Подуслуг по Услуге","Этот тест собирает список подуслуг по услуге на сайте, проверяя доступность страницы услуги и наличия на странице услуги групп подуслуг и входящих в эти группы подуслуг"
"passed","Tue Oct 01 09:08:33 GMT 2024","Tue Oct 01 09:08:40 GMT 2024","6850","tests","test_gosuslugi29","","","","Тест поиска Услуг по Категории","Этот тест собирает список услуг по категории на сайте, проверяя доступность страницы категории и наличия на странице категории услуг"
"failed","Tue Oct 01 09:09:06 GMT 2024","Tue Oct 01 09:11:55 GMT 2024","169295","tests","test_gosuslugi29","","","","Тест поиска проверяемых Параметров по Подуслуге","Этот тест авторизуется на сайте, собирает список проверяемых параметров по подуслуге на сайте, проверяя доступность страницы подуслуги и наличия на странице подуслуги проверяемых параметров"
"passed","Tue Oct 01 09:08:31 GMT 2024","Tue Oct 01 09:08:33 GMT 2024","1450","tests","test_gosuslugi29","","","","Тест Категорий","Этот тест собирает список категорий услуг на сайте, проверяя доступность страницы категорий и наличия на странице категорий объектов"
"broken","Tue Oct 01 09:11:56 GMT 2024","Tue Oct 01 09:11:56 GMT 2024","0","tests","test_gosuslugi29","","","","Тест проверки Параметров Подуслуги","Этот тест проверяет наличия на странице подуслуги проверяемых параметров"
