"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 07 03:26:21 GMT 2024","Mon Oct 07 03:29:14 GMT 2024","173038","tests","test_gosuslugi29","","","","Тест поиска проверяемых Параметров по Подуслуге","Этот тест авторизуется на сайте, собирает список проверяемых параметров по подуслуге на сайте, проверяя доступность страницы подуслуги и наличия на странице подуслуги проверяемых параметров"
"passed","Mon Oct 07 03:25:43 GMT 2024","Mon Oct 07 03:25:53 GMT 2024","10392","tests","test_gosuslugi29","","","","Тест поиска Услуг по Категории","Этот тест собирает список услуг по категории на сайте, проверяя доступность страницы категории и наличия на странице категории услуг"
"broken","Mon Oct 07 03:29:14 GMT 2024","Mon Oct 07 03:29:14 GMT 2024","0","tests","test_gosuslugi29","","","","Тест проверки Параметров Подуслуги","Этот тест проверяет наличия на странице подуслуги проверяемых параметров"
"passed","Mon Oct 07 03:25:41 GMT 2024","Mon Oct 07 03:25:43 GMT 2024","1695","tests","test_gosuslugi29","","","","Тест Категорий","Этот тест собирает список категорий услуг на сайте, проверяя доступность страницы категорий и наличия на странице категорий объектов"
"passed","Mon Oct 07 03:25:53 GMT 2024","Mon Oct 07 03:26:21 GMT 2024","27538","tests","test_gosuslugi29","","","","Тест поиска Подуслуг по Услуге","Этот тест собирает список подуслуг по услуге на сайте, проверяя доступность страницы услуги и наличия на странице услуги групп подуслуг и входящих в эти группы подуслуг"
