"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 03 03:23:43 GMT 2024","Thu Oct 03 03:23:54 GMT 2024","10787","tests","test_gosuslugi29","","","","Тест поиска Услуг по Категории","Этот тест собирает список услуг по категории на сайте, проверяя доступность страницы категории и наличия на странице категории услуг"
"passed","Thu Oct 03 03:23:54 GMT 2024","Thu Oct 03 03:24:23 GMT 2024","29060","tests","test_gosuslugi29","","","","Тест поиска Подуслуг по Услуге","Этот тест собирает список подуслуг по услуге на сайте, проверяя доступность страницы услуги и наличия на странице услуги групп подуслуг и входящих в эти группы подуслуг"
"failed","Thu Oct 03 03:24:23 GMT 2024","Thu Oct 03 03:27:29 GMT 2024","185878","tests","test_gosuslugi29","","","","Тест поиска проверяемых Параметров по Подуслуге","Этот тест авторизуется на сайте, собирает список проверяемых параметров по подуслуге на сайте, проверяя доступность страницы подуслуги и наличия на странице подуслуги проверяемых параметров"
"broken","Thu Oct 03 03:27:29 GMT 2024","Thu Oct 03 03:27:29 GMT 2024","0","tests","test_gosuslugi29","","","","Тест проверки Параметров Подуслуги","Этот тест проверяет наличия на странице подуслуги проверяемых параметров"
"passed","Thu Oct 03 03:23:41 GMT 2024","Thu Oct 03 03:23:43 GMT 2024","2086","tests","test_gosuslugi29","","","","Тест Категорий","Этот тест собирает список категорий услуг на сайте, проверяя доступность страницы категорий и наличия на странице категорий объектов"
