"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 09 03:23:38 GMT 2024","Wed Oct 09 03:23:49 GMT 2024","11243","tests","test_gosuslugi29","","","","Тест поиска Услуг по Категории","Этот тест собирает список услуг по категории на сайте, проверяя доступность страницы категории и наличия на странице категории услуг"
"passed","Wed Oct 09 03:23:36 GMT 2024","Wed Oct 09 03:23:38 GMT 2024","1950","tests","test_gosuslugi29","","","","Тест Категорий","Этот тест собирает список категорий услуг на сайте, проверяя доступность страницы категорий и наличия на странице категорий объектов"
"failed","Wed Oct 09 03:25:24 GMT 2024","Wed Oct 09 03:28:23 GMT 2024","178623","tests","test_gosuslugi29","","","","Тест поиска проверяемых Параметров по Подуслуге","Этот тест авторизуется на сайте, собирает список проверяемых параметров по подуслуге на сайте, проверяя доступность страницы подуслуги и наличия на странице подуслуги проверяемых параметров"
"passed","Wed Oct 09 03:23:50 GMT 2024","Wed Oct 09 03:25:24 GMT 2024","94542","tests","test_gosuslugi29","","","","Тест поиска Подуслуг по Услуге","Этот тест собирает список подуслуг по услуге на сайте, проверяя доступность страницы услуги и наличия на странице услуги групп подуслуг и входящих в эти группы подуслуг"
"broken","Wed Oct 09 03:28:23 GMT 2024","Wed Oct 09 03:28:23 GMT 2024","0","tests","test_gosuslugi29","","","","Тест проверки Параметров Подуслуги","Этот тест проверяет наличия на странице подуслуги проверяемых параметров"
