,name,link,total,failed,%
15976@egOrganization,Соловецкое лесничество - территориальный орган министерства природных ресурсов и лесопромышленного комплекса Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15976@egOrganization,0,0,100.00%
15961@egOrganization,Управление лесничествами Архангельской области - территориальный орган министерства природных ресурсов и лесопромышленного комплекса Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15961@egOrganization,0,0,100.00%
15958@egOrganization,Устьянское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15958@egOrganization,0,0,100.00%
15959@egOrganization,Холмогорское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15959@egOrganization,0,0,100.00%
15960@egOrganization,Шенкурское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15960@egOrganization,0,0,100.00%
15962@egOrganization,Яренское обособленное подразделение территориального органа министерства природных ресурсов и лесопромышленного комплекса Архангельской области - управления лесничествами,https://gosuslugi29.ru/pgu/department/info.htm?id=15962@egOrganization,0,0,100.00%
21436@egOrganization,"Государственное автономное учреждение Архангельской области ""Управление информационно-коммуникационных технологий Архангельской области""",https://gosuslugi29.ru/pgu/department/info.htm?id=21436@egOrganization,0,0,100.00%
15963@egOrganization,"Государственное автономное учреждение  Архангельской области ""Управление государственной экспертизы""",https://gosuslugi29.ru/pgu/department/info.htm?id=15963@egOrganization,3,1,33.33%
22390@egOrganization,Инспекция гостехнадзора Вельского и Шенкурского районов,https://gosuslugi29.ru/pgu/department/info.htm?id=22390@egOrganization,0,0,100.00%
22395@egOrganization,Инспекция гостехнадзора Виноградовского и Верхнетоемского районов,https://gosuslugi29.ru/pgu/department/info.htm?id=22395@egOrganization,0,0,100.00%
22392@egOrganization,Инспекция гостехнадзора города Архангельска,https://gosuslugi29.ru/pgu/department/info.htm?id=22392@egOrganization,0,0,100.00%
22402@egOrganization,"Инспекция гостехнадзора города Коряжмы, Ленского и Вилегодского районов",https://gosuslugi29.ru/pgu/department/info.htm?id=22402@egOrganization,0,0,100.00%
22394@egOrganization,Инспекция гостехнадзора города Новодвинска и Приморского района,https://gosuslugi29.ru/pgu/department/info.htm?id=22394@egOrganization,0,0,100.00%
22393@egOrganization,Инспекция гостехнадзора города Северодвинска,https://gosuslugi29.ru/pgu/department/info.htm?id=22393@egOrganization,0,0,100.00%
22396@egOrganization,Инспекция гостехнадзора Коношского и Няндомского районов,https://gosuslugi29.ru/pgu/department/info.htm?id=22396@egOrganization,0,0,100.00%
22397@egOrganization,Инспекция гостехнадзора Котласского и Красноборского районов,https://gosuslugi29.ru/pgu/department/info.htm?id=22397@egOrganization,0,0,100.00%
22398@egOrganization,Инспекция гостехнадзора Мезенского и Лешуконского районов,https://gosuslugi29.ru/pgu/department/info.htm?id=22398@egOrganization,0,0,100.00%
22400@egOrganization,Инспекция гостехнадзора Онежского района,https://gosuslugi29.ru/pgu/department/info.htm?id=22400@egOrganization,0,0,100.00%
22391@egOrganization,Инспекция гостехнадзора Плесецкого и Каргопольского районов,https://gosuslugi29.ru/pgu/department/info.htm?id=22391@egOrganization,0,0,100.00%
22401@egOrganization,Инспекция гостехнадзора Устьянского района,https://gosuslugi29.ru/pgu/department/info.htm?id=22401@egOrganization,0,0,100.00%
22399@egOrganization,Инспекция гостехнадзора Холмогорского и Пинежского районов,https://gosuslugi29.ru/pgu/department/info.htm?id=22399@egOrganization,0,0,100.00%
21236@egOrganization,"Государственное бюджетное комплексное учреждение Архангельской области общего типа ""Архангельский центр социальной помощи семье и детям""",https://gosuslugi29.ru/pgu/department/info.htm?id=21236@egOrganization,0,0,100.00%
16087@egOrganization,"Государственное бюджетное комплексное учреждение Архангельской области общего типа ""Вельский центр социальной помощи семье и детям ""Скворушка""""",https://gosuslugi29.ru/pgu/department/info.htm?id=16087@egOrganization,0,0,100.00%
16090@egOrganization,"Государственное бюджетное комплексное учреждение Архангельской области общего типа ""Каргопольский центр социальной помощи семье и детям""",https://gosuslugi29.ru/pgu/department/info.htm?id=16090@egOrganization,0,0,100.00%
16083@egOrganization,"Государственное бюджетное специализированное учреждение Архангельской области для несовершеннолетних, нуждающихся в социальной реабилитации ""Архангельский социально-реабилитационный центр для несовершеннолетних""",https://gosuslugi29.ru/pgu/department/info.htm?id=16083@egOrganization,0,0,100.00%
16088@egOrganization,"Государственное бюджетное специализированное учреждение Архангельской области для несовершеннолетних, нуждающихся в социальной реабилитации ""Устьянский социально-реабилитационный центр для несовершеннолетних""",https://gosuslugi29.ru/pgu/department/info.htm?id=16088@egOrganization,0,0,100.00%
16086@egOrganization,"Государственное бюджетное специализированное учреждение Архангельской области для несовершеннолетних, нуждающихся в социальной реабилитации, ""Коношский социально-реабилитированный центр для несовершеннолетних ""Теремок""""",https://gosuslugi29.ru/pgu/department/info.htm?id=16086@egOrganization,0,0,100.00%
16080@egOrganization,"Государственное бюджетное специализированное учреждение Архангельской области для несовершеннолетних, нуждающихся в социальной реабилитации, ""Котласский социально-реабилитационный центр для несовершеннолетних ""Маяк""",https://gosuslugi29.ru/pgu/department/info.htm?id=16080@egOrganization,0,0,100.00%
16091@egOrganization,"Государственное бюджетное специализированное учреждение Архангельской области для несовершеннолетних, нуждающихся в социальной реабилитации, ""Плесецкий социально-реабилитационный центр для несовершеннолетних""",https://gosuslugi29.ru/pgu/department/info.htm?id=16091@egOrganization,0,0,100.00%
16082@egOrganization,"Государственное бюджетное специализированное учреждение Архангельской области для несовершеннолетних, нуждающихся в социальной реабилитации, ""Приводинский социально-реабилитационный центр для несовершеннолетних ""Улитка""",https://gosuslugi29.ru/pgu/department/info.htm?id=16082@egOrganization,0,0,100.00%
16089@egOrganization,"Государственное бюджетное специализированное учреждение Архангельской области для несовершеннолетних, нуждающихся в социальной реабилитации, ""Приморский социально-реабилитационный центр для несовершеннолетних ""Радуга""",https://gosuslugi29.ru/pgu/department/info.htm?id=16089@egOrganization,0,0,100.00%
16092@egOrganization,"Государственное бюджетное специализированное учреждение Архангельской области для несовершеннолетних, нуждающихся в социальной реабилитации, ""Северодвинский социально-реабилитационный центр для несовершеннолетних ""Солнышко""",https://gosuslugi29.ru/pgu/department/info.htm?id=16092@egOrganization,0,0,100.00%
16084@egOrganization,"Государственное бюджетное стационарное учреждение социального обслуживания системы социальной защиты населения Архангельской области ""Новодвинский детский дом-интернат для детей с серьезными нарушениями в интеллектуальном развитии""",https://gosuslugi29.ru/pgu/department/info.htm?id=16084@egOrganization,0,0,100.00%
16056@egOrganization,"Государственное бюджетное учреждение Архангельской области ""Центр социальной адаптации для лиц без определенного места жительства и занятий""",https://gosuslugi29.ru/pgu/department/info.htm?id=16056@egOrganization,0,0,100.00%
16085@egOrganization,"Государственное бюджетное учреждение Архангельской области социального обслуживания детей с ограниченными возможностями ""Архангельский многопрофильный реабилитационный центр для детей""",https://gosuslugi29.ru/pgu/department/info.htm?id=16085@egOrganization,0,0,100.00%
16081@egOrganization,"Государственное бюджетное учреждение Архангельской области социального обслуживания детей с ограниченными возможностями ""Котласский реабилитационный центр для детей с ограниченными возможностями""",https://gosuslugi29.ru/pgu/department/info.htm?id=16081@egOrganization,0,0,100.00%
16079@egOrganization,"Государственное бюджетное учреждение Архангельской области социального обслуживания детей с ограниченными возможностями ""Северодвинский реабилитационный центр для детей с ограниченными возможностями ""Ручеёк""",https://gosuslugi29.ru/pgu/department/info.htm?id=16079@egOrganization,0,0,100.00%
16069@egOrganization,"Государственное бюджетное учреждение Архангельской области Центр реабилитации ""Родник""",https://gosuslugi29.ru/pgu/department/info.htm?id=16069@egOrganization,0,0,100.00%
16057@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Архангельский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16057@egOrganization,0,0,100.00%
16054@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Вельский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16054@egOrganization,0,0,100.00%
16075@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Верхнетоемский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16075@egOrganization,0,0,100.00%
16063@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Вилегодский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16063@egOrganization,0,0,100.00%
16070@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Каргопольский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16070@egOrganization,0,0,100.00%
16072@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Комплексный центр социального обслуживания по Виноградовскому и Шенкурскому районам""",https://gosuslugi29.ru/pgu/department/info.htm?id=16072@egOrganization,0,0,100.00%
16067@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Коношский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16067@egOrganization,0,0,100.00%
16059@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Коряжемский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16059@egOrganization,0,0,100.00%
16071@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Котласский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16071@egOrganization,0,0,100.00%
16076@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Красноборский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16076@egOrganization,0,0,100.00%
16060@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Мезенский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16060@egOrganization,0,0,100.00%
16058@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Новодвинский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16058@egOrganization,0,0,100.00%
16065@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Няндомский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16065@egOrganization,0,0,100.00%
16055@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Онежский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16055@egOrganization,0,0,100.00%
16066@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Плесецкий комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16066@egOrganization,0,0,100.00%
16068@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Приморский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16068@egOrganization,0,0,100.00%
16062@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Северодвинский комплексный центр социального обслуживания ""Забота""""",https://gosuslugi29.ru/pgu/department/info.htm?id=16062@egOrganization,0,0,100.00%
16061@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Устьянский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16061@egOrganization,0,0,100.00%
16074@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Холмогорский комплексный центр социального обслуживания""",https://gosuslugi29.ru/pgu/department/info.htm?id=16074@egOrganization,0,0,100.00%
22425@egOrganization,"Государственное бюджетное учреждение социального обслуживания населения Архангельской области ""Центр помощи совершеннолетним гражданам с ментальными особенностями""",https://gosuslugi29.ru/pgu/department/info.htm?id=22425@egOrganization,0,0,100.00%
22389@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр занятости населения""",https://gosuslugi29.ru/pgu/department/info.htm?id=22389@egOrganization,0,0,100.00%
16504@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения""",https://gosuslugi29.ru/pgu/department/info.htm?id=16504@egOrganization,0,0,100.00%
15878@egOrganization,Отделение занятости населения по Вельскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15878@egOrganization,0,0,100.00%
15879@egOrganization,Отделение занятости населения по Верхнетоемскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15879@egOrganization,0,0,100.00%
15896@egOrganization,Отделение занятости населения по Виноградовскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15896@egOrganization,0,0,100.00%
15906@egOrganization,Отделение занятости населения по городу Архангельску,https://gosuslugi29.ru/pgu/department/info.htm?id=15906@egOrganization,0,0,100.00%
15903@egOrganization,Отделение занятости населения по городу Котласу,https://gosuslugi29.ru/pgu/department/info.htm?id=15903@egOrganization,0,0,100.00%
15907@egOrganization,Отделение занятости населения по городу Новодвинску,https://gosuslugi29.ru/pgu/department/info.htm?id=15907@egOrganization,0,0,100.00%
15904@egOrganization,Отделение занятости населения по городу Северодвинску,https://gosuslugi29.ru/pgu/department/info.htm?id=15904@egOrganization,0,0,100.00%
15895@egOrganization,Отделение занятости населения по Каргопольскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15895@egOrganization,0,0,100.00%
15894@egOrganization,Отделение занятости населения по Коношскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15894@egOrganization,0,0,100.00%
15892@egOrganization,Отделение занятости населения по Ленскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15892@egOrganization,0,0,100.00%
15891@egOrganization,Отделение занятости населения по Лешуконскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15891@egOrganization,0,0,100.00%
15890@egOrganization,Отделение занятости населения по Мезенскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15890@egOrganization,0,0,100.00%
15889@egOrganization,Отделение занятости населения по Няндомскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15889@egOrganization,0,0,100.00%
15900@egOrganization,Отделение занятости населения по Онежскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15900@egOrganization,0,0,100.00%
15888@egOrganization,Отделение занятости населения по Пинежскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15888@egOrganization,0,0,100.00%
15905@egOrganization,Отделение занятости населения по Плесецкому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15905@egOrganization,0,0,100.00%
15901@egOrganization,Отделение занятости населения по Устьянскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15901@egOrganization,0,0,100.00%
15899@egOrganization,Отделение занятости населения по Холмогорскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15899@egOrganization,0,0,100.00%
15898@egOrganization,Отделение занятости населения по Шенкурскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15898@egOrganization,0,0,100.00%
15897@egOrganization,Сектор содействия занятости населения по Вилегодскому округу,https://gosuslugi29.ru/pgu/department/info.htm?id=15897@egOrganization,0,0,100.00%
15902@egOrganization,Сектор содействия занятости населения по городу Коряжме,https://gosuslugi29.ru/pgu/department/info.htm?id=15902@egOrganization,0,0,100.00%
15893@egOrganization,Сектор содействия занятости населения по Красноборскому району,https://gosuslugi29.ru/pgu/department/info.htm?id=15893@egOrganization,0,0,100.00%
16502@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (отдел предоставления компенсаций и субсидий по оплате жилого помещения и коммунальных услуг)",https://gosuslugi29.ru/pgu/department/info.htm?id=16502@egOrganization,0,0,100.00%
15908@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Вельскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15908@egOrganization,0,0,100.00%
15912@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Верхнетоемскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15912@egOrganization,0,0,100.00%
15910@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Вилегодскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15910@egOrganization,0,0,100.00%
15911@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Виноградовскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15911@egOrganization,0,0,100.00%
15914@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по г.Коряжме)",https://gosuslugi29.ru/pgu/department/info.htm?id=15914@egOrganization,0,0,100.00%
15920@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по г.Мирному)",https://gosuslugi29.ru/pgu/department/info.htm?id=15920@egOrganization,0,0,100.00%
15921@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по г.Новодвинску)",https://gosuslugi29.ru/pgu/department/info.htm?id=15921@egOrganization,0,0,100.00%
15927@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по г.Северодвинску)",https://gosuslugi29.ru/pgu/department/info.htm?id=15927@egOrganization,0,0,100.00%
15936@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Исакогорскому и Цигломенскому округам г.Архангельска)",https://gosuslugi29.ru/pgu/department/info.htm?id=15936@egOrganization,0,0,100.00%
15913@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Каргопольскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15913@egOrganization,0,0,100.00%
15909@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Коношскому району""",https://gosuslugi29.ru/pgu/department/info.htm?id=15909@egOrganization,0,0,100.00%
15915@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Котласскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15915@egOrganization,0,0,100.00%
15916@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Красноборскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15916@egOrganization,0,0,100.00%
15917@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Ленскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15917@egOrganization,0,0,100.00%
15918@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Лешуконскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15918@egOrganization,0,0,100.00%
15932@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Ломоносовскому территориальному округу г.Архангельска и Приморскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15932@egOrganization,0,0,100.00%
15919@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Мезенскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15919@egOrganization,0,0,100.00%
15922@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Няндомскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15922@egOrganization,0,0,100.00%
15931@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Октябрьскому территориальному округу г.Архангельска)",https://gosuslugi29.ru/pgu/department/info.htm?id=15931@egOrganization,0,0,100.00%
15923@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Онежскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15923@egOrganization,0,0,100.00%
15924@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Пинежскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15924@egOrganization,0,0,100.00%
15925@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Плесецкому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15925@egOrganization,0,0,100.00%
15933@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Соломбальскому, Северному и Маймаксанскому территориальным округам г.Архангельска)",https://gosuslugi29.ru/pgu/department/info.htm?id=15933@egOrganization,0,0,100.00%
15934@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по территориальному округу Варавино-Фактория г.Архангельска)",https://gosuslugi29.ru/pgu/department/info.htm?id=15934@egOrganization,0,0,100.00%
15935@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по территориальному округу Майская горка г.Архангельска)",https://gosuslugi29.ru/pgu/department/info.htm?id=15935@egOrganization,0,0,100.00%
15928@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Устьянскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15928@egOrganization,0,0,100.00%
15929@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Холмогорскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15929@egOrganization,0,0,100.00%
15930@egOrganization,"Государственное казенное учреждение Архангельской области ""Архангельский областной центр социальной защиты населения"" (Отделение социальной защиты населения по Шенкурскому району)",https://gosuslugi29.ru/pgu/department/info.htm?id=15930@egOrganization,0,0,100.00%
21504@egOrganization,"Государственное автономное учреждение Архангельской области 
«Архангельский региональный бизнес-инкубатор»",https://gosuslugi29.ru/pgu/department/info.htm?id=21504@egOrganization,0,0,100.00%
21506@egOrganization,"Государственное унитарное предприятие Архангельской области ""Инвестиционная компания""Архангельск""""",https://gosuslugi29.ru/pgu/department/info.htm?id=21506@egOrganization,0,0,100.00%
21505@egOrganization,Микрофинансовая организация «Архангельский региональный фонд микрофинансирования»,https://gosuslugi29.ru/pgu/department/info.htm?id=21505@egOrganization,0,0,100.00%
15645@egOrganization,Муниципальные образования Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15645@egOrganization,0,0,100.00%
15684@egOrganization,Администрация Верхнетоемского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15684@egOrganization,47,5,10.64%
15680@egOrganization,Администрация Вилегодского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15680@egOrganization,58,8,13.79%
15692@egOrganization,Администрация Виноградовского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15692@egOrganization,76,13,17.11%
15678@egOrganization,"Администрация городского округа ""Город Архангельск""",https://gosuslugi29.ru/pgu/department/info.htm?id=15678@egOrganization,164,35,21.34%
15698@egOrganization,"Администрация городского округа Архангельской области ""Город Новодвинск""",https://gosuslugi29.ru/pgu/department/info.htm?id=15698@egOrganization,56,1,1.79%
15670@egOrganization,"Администрация городского округа Архангельской области ""Котлас""",https://gosuslugi29.ru/pgu/department/info.htm?id=15670@egOrganization,53,2,3.77%
15664@egOrganization,Администрация городского округа Архангельской области «Город Коряжма»,https://gosuslugi29.ru/pgu/department/info.htm?id=15664@egOrganization,63,7,11.11%
15655@egOrganization,Администрация Каргопольского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15655@egOrganization,28,9,32.14%
22456@egOrganization,Администрация Котласского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22456@egOrganization,40,2,5.00%
15672@egOrganization,Администрация Котласского муниципального района Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15672@egOrganization,17,16,94.12%
15688@egOrganization,Администрация Красноборского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15688@egOrganization,25,2,8.00%
22461@egOrganization,Администрация Лешуконского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22461@egOrganization,14,6,42.86%
15657@egOrganization,Администрация Лешуконского муниципального района Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15657@egOrganization,16,12,75.00%
22466@egOrganization,Администрация Мезенского муниципального округа Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=22466@egOrganization,50,5,10.00%
15649@egOrganization,Администрация Мирного,https://gosuslugi29.ru/pgu/department/info.htm?id=15649@egOrganization,75,4,5.33%
15694@egOrganization,"Администрация муниципального  образования ""Вельский муниципальный район""",https://gosuslugi29.ru/pgu/department/info.htm?id=15694@egOrganization,45,20,44.44%
