,name,link,total,failed,%
15860@egOrganization,Территориальный отдел по Приморскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15860@egOrganization,0,0,100.00%
15854@egOrganization,Территориальный отдел по Устьянскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15854@egOrganization,0,0,100.00%
15855@egOrganization,Территориальный отдел по Холмогорскому району агентства записи актов гражданского состояния Архангельской области,https://gosuslugi29.ru/pgu/department/info.htm?id=15855@egOrganization,0,0,100.00%
22387@egOrganization,"Государственное автономное учреждение Архангельской области ""Региональный центр по организации закупок""",https://gosuslugi29.ru/pgu/department/info.htm?id=22387@egOrganization,0,0,100.00%
16047@egOrganization,"ГБУЗ АО ""Архангельская областная клиническая больница""",https://gosuslugi29.ru/pgu/department/info.htm?id=16047@egOrganization,0,0,100.00%
21491@egOrganization,"Государственное автономное профессиональное образовательное учреждение Архангельской области ""Архангельский медицинский колледж""",https://gosuslugi29.ru/pgu/department/info.htm?id=21491@egOrganization,0,0,100.00%
22405@egOrganization,"Государственное бюджетное учреждение ""Центр кадастровой оценки и технической инвентаризации""",https://gosuslugi29.ru/pgu/department/info.htm?id=22405@egOrganization,4,1,25.00%
16649@egOrganization,Государственное автономное учреждение культуры Архангельской области «Архангельский театр кукол»,https://gosuslugi29.ru/pgu/department/info.htm?id=16649@egOrganization,0,0,100.00%
16029@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Архангельский колледж культуры и искусства»,https://gosuslugi29.ru/pgu/department/info.htm?id=16029@egOrganization,0,0,100.00%
16032@egOrganization,Государственное бюджетное образовательное учреждение среднего профессионального образования Архангельской области «Архангельский музыкальный колледж»,https://gosuslugi29.ru/pgu/department/info.htm?id=16032@egOrganization,0,0,100.00%
